Compañia,Linea de producto,Año,Ingresos soles
Otros,Equipos,2016,17048
Otros,Público,2016,26567
Otros,Data,2016,2790768
Otros,Internet,2016,243193
Bitel,Linea fija,2016,26080
Bitel,Larga distancia,2016,401237
Bitel,Internet,2016,3737946
Bitel,Data,2016,15182463
Bitel,Equipos,2016,81912100
Bitel,Interconexión,2016,135198497
Bitel,Móvil,2016,262032521
Otros,Otros,2016,4551
Otros,CableTV,2016,2136712
Otros,CableTV,2016,326931
Otros,CableTV,2016,41953
Otros,Internet,2016,354945
Otros,Data,2016,895075
Otros,Público,2016,219466
Otros,Internet,2016,508758
Otros,Linea fija,2016,1355601
Otros,Internet,2016,46633
Otros,Internet,2016,3160
Otros,Linea fija,2016,42812
Otros,Equipos,2016,524701
Otros,Otros,2016,2941373
Otros,Data,2016,11030575
Otros,CableTV,2017,60846
Otros,Internet,2017,88003
Otros,CableTV,2017,1328895
Claro,Público,2017,3785459
Claro,Larga distancia,2017,6303504
Claro,Linea fija,2017,132511671
Claro,Data,2017,161439382
Claro,CableTV,2017,184147076
Claro,Internet,2017,350716688
Claro,Otros,2017,426160604
Claro,Interconexión,2017,512153123
Claro,Equipos,2017,748594095
Claro,Móvil,2017,3202812199
Otros,Público,2017,757
Otros,Equipos,2017,176267
Otros,Interconexión,2017,5259165
Otros,Linea fija,2017,14074118
Otros,Otros,2017,17018971
Otros,Data,2017,18929249
Otros,Larga distancia,2017,25693332
Otros,Internet,2017,50426460
Otros,Linea fija,2017,64
Otros,CableTV,2017,106
Otros,Público,2017,578
Otros,Larga distancia,2017,2256
Otros,Internet,2017,72190
Otros,Otros,2017,408684
Otros,CableTV,2017,74290
Otros,CableTV,2017,1001697
Otros,Interconexión,2017,63368
Otros,Público,2017,107076
Otros,Linea fija,2017,909729
Otros,CableTV,2017,148386
Otros,Internet,2017,153493
Otros,Data,2017,21125053
Otros,Internet,2017,10992153
Otros,Data,2017,13979721
Otros,Internet,2017,1263344
Otros,Data,2017,9776503
